Date,Description,Amount,Card
2024-11-06,Hotel,186.58,Visa
2024-03-16,Electronics Store,39.69,Visa
2024-08-21,Gas Station,258.85,Mastercard
2024-02-21,Fast Food,338.2,Visa
2024-10-14,Supermarket,227.66,Amex
2024-03-15,Grocery Store,379.82,Discover
2024-10-30,Utility Bill,11.68,Visa
2024-01-09,Pharmacy,445.0,Visa
2024-10-19,Ride Sharing,179.72,Discover
2024-10-04,Ride Sharing,486.38,Visa
2024-12-02,Electronics Store,69.86,Discover
2024-11-09,Movie Theater,418.57,Discover
2024-05-19,Electronics Store,176.58,Visa
2024-12-23,Gym Membership,387.65,Mastercard
2024-06-17,Gas Station,93.07,Mastercard
2024-05-26,Fast Food,440.13,Amex
2024-03-09,Ride Sharing,108.44,Visa
2024-12-27,Gym Membership,473.62,Amex
2024-09-02,Ride Sharing,16.17,Amex
2024-06-14,Grocery Store,288.98,Visa
2024-05-10,Supermarket,389.28,Discover
2024-12-08,Restaurant,242.53,Amex
2024-04-08,Gym Membership,275.07,Amex
2024-10-03,Coffee Shop,192.45,Visa
2024-04-05,Parking,421.48,Visa
2024-06-01,Clothing Store,49.93,Visa
2024-05-14,Hotel,424.69,Amex
2024-08-28,Clothing Store,289.4,Amex
2024-11-11,Pharmacy,385.85,Mastercard
2024-01-19,Parking,242.22,Amex
2024-01-13,Ride Sharing,444.43,Amex
2024-06-06,Streaming Service,468.83,Amex
2024-02-29,Fast Food,99.68,Mastercard
2024-08-08,Ride Sharing,317.87,Discover
2024-05-28,Grocery Store,6.69,Mastercard
2024-03-11,Ride Sharing,166.99,Discover
2024-08-15,Parking,174.89,Visa
2024-07-28,Ride Sharing,418.21,Discover
2024-12-29,Hotel,436.83,Amex
2024-03-21,Subscription Service,88.63,Discover
2024-09-29,Ride Sharing,125.65,Mastercard
2024-01-24,Online Purchase,82.1,Amex
2024-05-19,Ride Sharing,462.48,Amex
2024-03-28,Airline,311.39,Mastercard
2024-03-26,Hotel,13.95,Amex
2024-03-23,Gym Membership,173.74,Mastercard
2024-04-06,Hotel,41.94,Mastercard
2024-12-29,Electronics Store,175.02,Visa
2024-12-21,Movie Theater,66.82,Mastercard
2024-09-18,Coffee Shop,489.56,Amex
2024-04-05,Bookstore,342.36,Discover
2024-10-17,Streaming Service,187.88,Amex
2024-09-17,Bookstore,33.11,Visa
2024-06-23,Coffee Shop,227.8,Amex
2024-09-26,Restaurant,197.86,Amex
2024-04-26,Gym Membership,79.69,Discover
2024-10-14,Utility Bill,278.82,Amex
2024-09-24,Airline,428.28,Mastercard
2024-06-21,Gas Station,473.04,Mastercard
2024-07-21,Bookstore,391.1,Mastercard
2024-11-16,Online Purchase,407.51,Visa
2024-11-27,Hotel,246.19,Visa
2024-11-17,Airline,240.03,Discover
2024-12-27,Movie Theater,88.95,Discover
2024-06-05,Parking,125.57,Mastercard
2024-08-27,Supermarket,206.52,Mastercard
2024-11-21,Restaurant,221.05,Discover
2024-07-16,Ride Sharing,174.43,Mastercard
2024-11-12,Fast Food,38.2,Mastercard
2024-07-16,Electronics Store,188.72,Visa
2024-06-03,Parking,409.24,Amex
2024-05-01,Bookstore,176.23,Amex
2024-10-11,Online Purchase,71.27,Discover
2024-05-22,Gym Membership,248.29,Mastercard
2024-08-23,Airline,215.57,Discover
2024-03-30,Movie Theater,177.02,Discover
2024-10-17,Streaming Service,257.64,Discover
2024-05-08,Online Purchase,13.03,Mastercard
2024-04-22,Supermarket,17.75,Visa
2024-04-19,Electronics Store,300.69,Visa
2024-02-21,Clothing Store,307.42,Discover
2024-07-05,Online Purchase,111.69,Visa
2024-01-01,Supermarket,265.74,Visa
2024-07-12,Bookstore,384.52,Visa
2024-06-22,Ride Sharing,22.22,Mastercard
2024-12-20,Electronics Store,444.21,Discover
2024-11-27,Fast Food,333.99,Discover
2024-08-28,Gym Membership,65.76,Discover
2024-03-22,Airline,473.43,Amex
2024-05-09,Pharmacy,11.24,Discover
2024-02-13,Bookstore,433.75,Amex
2024-01-17,Subscription Service,166.56,Amex
2024-10-14,Fast Food,325.51,Amex
2024-10-24,Parking,172.25,Visa
2024-12-28,Restaurant,277.27,Discover
2024-07-22,Subscription Service,74.76,Mastercard
2024-02-22,Gym Membership,236.81,Amex
2024-10-10,Fast Food,312.13,Amex
2024-03-04,Streaming Service,146.34,Discover
2024-12-10,Gym Membership,172.81,Visa
2024-01-08,Grocery Store,286.87,Mastercard
2024-06-07,Grocery Store,243.87,Mastercard
2024-07-23,Clothing Store,5.82,Discover
2024-06-08,Hotel,70.07,Visa
2024-03-14,Subscription Service,229.66,Amex
2024-02-27,Subscription Service,278.41,Discover
2024-11-28,Utility Bill,26.06,Mastercard
2024-10-30,Grocery Store,23.24,Mastercard
2024-06-01,Coffee Shop,46.11,Amex
2024-12-11,Subscription Service,198.34,Visa
2024-05-06,Gas Station,116.31,Discover
2024-05-23,Pharmacy,6.85,Discover
2024-02-16,Hotel,207.38,Visa
2024-02-22,Coffee Shop,292.67,Amex
2024-02-01,Streaming Service,289.53,Amex
2024-05-18,Coffee Shop,90.04,Mastercard
2024-12-23,Clothing Store,432.46,Mastercard
2024-11-04,Clothing Store,373.28,Mastercard
2024-10-06,Restaurant,167.84,Amex
2024-10-04,Streaming Service,133.45,Discover
2024-10-22,Ride Sharing,267.88,Mastercard
2024-06-28,Electronics Store,142.19,Amex
2024-06-13,Airline,211.29,Visa
2024-10-29,Supermarket,117.14,Mastercard
2024-07-29,Gym Membership,355.22,Amex
2024-01-18,Restaurant,132.96,Amex
2024-01-08,Pharmacy,185.03,Discover
2024-04-02,Grocery Store,309.86,Amex
2024-12-19,Bookstore,234.63,Amex
2024-11-09,Coffee Shop,252.11,Amex
2024-10-23,Hotel,96.74,Discover
2024-01-06,Subscription Service,466.81,Visa
2024-12-09,Bookstore,314.26,Amex
2024-09-03,Fast Food,75.2,Amex
2024-05-09,Fast Food,283.03,Amex
2024-10-07,Airline,10.69,Visa
2024-10-23,Coffee Shop,45.15,Discover
2024-07-26,Supermarket,52.83,Amex
2024-05-24,Movie Theater,388.08,Discover
2024-09-19,Airline,35.8,Visa
2024-12-08,Pharmacy,440.16,Mastercard
2024-07-28,Grocery Store,165.37,Visa
2024-09-11,Ride Sharing,364.62,Discover
2024-11-20,Online Purchase,302.27,Amex
2024-08-14,Online Purchase,338.62,Discover
2024-02-01,Hotel,190.86,Visa
2024-11-04,Hotel,39.6,Visa
2024-03-23,Gym Membership,83.64,Amex
2024-04-03,Coffee Shop,213.6,Amex
2024-05-02,Grocery Store,292.36,Visa
2024-08-10,Electronics Store,52.97,Discover
2024-12-30,Movie Theater,398.0,Mastercard
2024-01-24,Fast Food,289.98,Mastercard
2024-02-06,Gas Station,197.67,Mastercard
2024-07-15,Bookstore,486.38,Discover
2024-05-27,Hotel,57.18,Amex
2024-07-08,Fast Food,363.61,Amex
2024-08-22,Restaurant,188.65,Amex
2024-01-30,Parking,143.13,Discover
2024-05-14,Ride Sharing,43.73,Mastercard
2024-12-20,Airline,53.07,Mastercard
2024-08-01,Streaming Service,243.67,Visa
2024-05-03,Ride Sharing,210.45,Mastercard
2024-02-15,Streaming Service,489.58,Visa
2024-05-19,Gym Membership,98.96,Visa
2024-07-07,Coffee Shop,21.4,Discover
2024-08-08,Online Purchase,238.1,Visa
2024-09-29,Subscription Service,455.07,Discover
2024-10-22,Gas Station,58.88,Amex
2024-03-01,Coffee Shop,6.03,Discover
2024-12-02,Bookstore,342.47,Amex
2024-06-08,Airline,389.46,Visa
2024-08-24,Movie Theater,82.52,Mastercard
2024-01-15,Gas Station,410.75,Mastercard
2024-07-07,Supermarket,93.93,Mastercard
2024-02-29,Restaurant,67.75,Mastercard
2024-05-12,Streaming Service,135.91,Visa
2024-04-07,Fast Food,317.38,Visa
2024-02-02,Online Purchase,328.88,Discover
2024-12-21,Fast Food,274.91,Visa
2024-06-26,Gas Station,384.3,Amex
2024-08-23,Utility Bill,199.62,Amex
2024-02-27,Clothing Store,296.25,Amex
2024-07-09,Movie Theater,17.79,Discover
2024-05-20,Bookstore,23.55,Mastercard
2024-01-21,Online Purchase,12.38,Visa
2024-10-27,Gas Station,467.36,Discover
2024-10-22,Streaming Service,216.56,Visa
2024-08-23,Electronics Store,350.38,Visa
2024-03-24,Gym Membership,431.32,Amex
2024-07-26,Electronics Store,248.43,Amex
2024-02-01,Bookstore,350.79,Amex
2024-03-11,Gas Station,344.7,Mastercard
2024-01-15,Fast Food,134.36,Visa
2024-08-02,Supermarket,353.27,Amex
2024-11-25,Airline,150.96,Amex
2024-12-09,Airline,458.08,Amex
2024-04-14,Subscription Service,367.07,Discover
2024-03-14,Coffee Shop,488.13,Visa
2024-10-17,Gym Membership,19.66,Discover
