Date,Description,Amount,Card,Category,Sub Category
2024-11-23,SuperFoods,55.75,Mastercard,Food,Groceries
2024-03-12,Door2Dish,40.34,Visa,Food,Delivery
2024-01-16,Bistro 21,47.85,Visa,Food,Dining
2024-10-14,Arena Tickets,74.6,Amex,Entertainment,Events
2024-01-04,GameHub,36.96,Mastercard,Entertainment,Games
2024-06-21,FreshMart,32.57,Amex,Food,Groceries
2024-11-05,ElectroMart,197.28,Visa,Merchandise,Electronics
2024-07-12,MealDash,51.81,Amex,Food,Delivery
2024-10-22,Silver Screen Cinema,29.84,Amex,Entertainment,Movies
2024-02-10,Downtown Movies,18.34,Amex,Entertainment,Movies
2024-03-24,Nest & Nook,170.84,Visa,Merchandise,Home Goods
2024-11-07,Festival Pass,80.08,Discover,Entertainment,Events
2024-07-13,Glow & Co.,83.73,Visa,Merchandise,Personal Care
2024-04-27,Bean & Leaf,6.21,Mastercard,Food,Coffee
2024-10-17,Wardrobe Co.,107.36,Discover,Merchandise,Clothing
2024-03-14,Style Street,152.82,Amex,Merchandise,Clothing
2024-10-26,City Utilities,755.89,Mastercard,Travel & Housing,Rent/Utilities
2024-09-17,AeroAirlines,699.99,Mastercard,Travel & Housing,Flights
2024-11-17,JoyStick Arena,12.31,Discover,Entertainment,Games
2024-11-01,City Utilities,1943.6,Visa,Travel & Housing,Rent/Utilities
2024-12-14,MealDash,48.89,Amex,Food,Delivery
2024-02-27,PageTurner Books,39.03,Amex,Merchandise,Books
2024-09-13,City Concerts,220.87,Amex,Entertainment,Events
2024-11-23,BingeBox,20.96,Visa,Entertainment,Streaming
2024-11-02,PageTurner Books,13.39,Amex,Merchandise,Books
2024-06-06,Silver Screen Cinema,36.34,Visa,Entertainment,Movies
2024-02-13,JetTrail,631.4,Mastercard,Travel & Housing,Flights
2024-12-03,RentPay,566.86,Discover,Travel & Housing,Rent/Utilities
2024-04-18,Melody Mart,99.56,Amex,Entertainment,Music
2024-08-12,AeroAirlines,241.78,Amex,Travel & Housing,Flights
2024-01-11,City Concerts,26.62,Visa,Entertainment,Events
2024-04-27,FreshMart,29.21,Mastercard,Food,Groceries
2024-05-22,Harbor Inn,111.6,Discover,Travel & Housing,Lodging
2024-05-04,Metro Transit,3.7,Discover,Travel & Housing,Public Transit
2024-06-30,City Line,17.55,Visa,Travel & Housing,Public Transit
2024-12-10,FreshMart,114.67,Visa,Food,Groceries
2024-05-07,CinemaCloud,15.63,Discover,Entertainment,Streaming
2024-04-03,PageTurner Books,70.59,Visa,Merchandise,Books
2024-08-14,SuperFoods,149.91,Visa,Food,Groceries
2024-02-17,BingeBox,16.26,Mastercard,Entertainment,Streaming
2024-07-24,Urban Diner,15.14,Discover,Food,Dining
2024-05-15,GoCab,44.22,Discover,Travel & Housing,Rideshare
2024-03-20,TuneTown,97.18,Visa,Entertainment,Music
2024-06-09,SuperFoods,81.98,Mastercard,Food,Groceries
2024-01-30,Bistro 21,53.68,Mastercard,Food,Dining
2024-07-25,Door2Dish,39.79,Visa,Food,Delivery
2024-11-13,Taco Corner,17.51,Amex,Food,Fast Food
2024-05-13,TuneTown,33.91,Mastercard,Entertainment,Music
2024-12-09,Readers' Roost,74.68,Visa,Merchandise,Books
2024-01-05,Power & Water Co.,1992.39,Visa,Travel & Housing,Rent/Utilities
2024-10-02,Arena Tickets,54.8,Amex,Entertainment,Events
2024-02-05,Melody Mart,24.2,Amex,Entertainment,Music
2024-11-09,MealDash,56.72,Visa,Food,Delivery
2024-03-09,TechPoint,303.41,Mastercard,Merchandise,Electronics
2024-05-19,Glow & Co.,87.53,Mastercard,Merchandise,Personal Care
2024-12-17,BeautyBay,33.88,Visa,Merchandise,Personal Care
2024-02-17,RideFly,8.18,Mastercard,Travel & Housing,Rideshare
2024-11-22,Wardrobe Co.,96.74,Discover,Merchandise,Clothing
2024-10-14,Whole Market,142.86,Mastercard,Food,Groceries
2024-10-06,Café Aurora,9.63,Discover,Food,Coffee
2024-03-06,Bean & Leaf,13.79,Visa,Food,Coffee
2024-07-02,CinemaCloud,9.75,Discover,Entertainment,Streaming
2024-11-13,Streamify,24.6,Mastercard,Entertainment,Streaming
2024-07-30,Garden Grill,75.09,Discover,Food,Dining
2024-12-08,TuneTown,80.86,Visa,Entertainment,Music
2024-07-14,QuickBite,10.59,Discover,Food,Fast Food
2024-06-28,Style Street,19.38,Mastercard,Merchandise,Clothing
2024-07-23,Nest & Nook,242.05,Amex,Merchandise,Home Goods
2024-06-28,City Utilities,1881.51,Visa,Travel & Housing,Rent/Utilities
2024-05-13,Arena Tickets,33.61,Discover,Entertainment,Events
2024-06-25,BookHaven,78.82,Visa,Merchandise,Books
2024-07-16,TuneTown,73.79,Visa,Entertainment,Music
2024-09-23,Melody Mart,16.3,Amex,Entertainment,Music
2024-11-15,ElectroMart,362.52,Amex,Merchandise,Electronics
2024-12-07,GoCab,44.25,Mastercard,Travel & Housing,Rideshare
2024-04-08,Rapid Rail,15.47,Mastercard,Travel & Housing,Public Transit
2024-11-11,BookHaven,67.53,Amex,Merchandise,Books
2024-05-26,JoyStick Arena,74.77,Amex,Entertainment,Games
2024-08-26,Rapid Rail,5.85,Discover,Travel & Housing,Public Transit
2024-03-27,Café Aurora,10.97,Amex,Food,Coffee
2024-02-17,TuneTown,82.59,Mastercard,Entertainment,Music
2024-01-13,Urban Diner,54.73,Visa,Food,Dining
2024-08-21,RentPay,1450.77,Discover,Travel & Housing,Rent/Utilities
2024-09-10,Grand Stay Hotel,315.86,Visa,Travel & Housing,Lodging
2024-02-24,Grand Stay Hotel,373.6,Discover,Travel & Housing,Lodging
2024-01-26,Downtown Movies,14.0,Discover,Entertainment,Movies
2024-12-07,BookHaven,66.13,Discover,Merchandise,Books
2024-10-07,Harbor Inn,395.98,Discover,Travel & Housing,Lodging
2024-05-12,SoundWave,53.61,Mastercard,Entertainment,Music
2024-05-20,JetTrail,285.72,Amex,Travel & Housing,Flights
2024-06-20,Glow & Co.,20.91,Mastercard,Merchandise,Personal Care
2024-07-15,Streamify,15.05,Amex,Entertainment,Streaming
2024-10-04,Metro Transit,5.72,Discover,Travel & Housing,Public Transit
2024-07-18,MealDash,34.9,Amex,Food,Delivery
2024-06-01,Rapid Rail,15.46,Mastercard,Travel & Housing,Public Transit
2024-09-06,Melody Mart,53.71,Discover,Entertainment,Music
2024-06-21,City Suites,418.62,Visa,Travel & Housing,Lodging
2024-07-20,SuperFoods,75.72,Discover,Food,Groceries
2024-04-03,Bean & Leaf,6.93,Discover,Food,Coffee
2024-06-16,Readers' Roost,61.4,Discover,Merchandise,Books
2024-05-09,QuickBite,20.48,Visa,Food,Fast Food
2024-06-28,ReelHouse,11.21,Visa,Entertainment,Movies
2024-05-06,ReelHouse,14.57,Mastercard,Entertainment,Movies
2024-08-30,Door2Dish,34.32,Amex,Food,Delivery
2024-07-07,Festival Pass,241.84,Visa,Entertainment,Events
2024-03-24,ElectroMart,34.63,Amex,Merchandise,Electronics
2024-10-21,Rapid Rail,5.57,Mastercard,Travel & Housing,Public Transit
2024-02-22,Glow & Co.,96.57,Visa,Merchandise,Personal Care
2024-06-26,RideFly,34.31,Amex,Travel & Housing,Rideshare
2024-01-07,Metro Transit,9.8,Amex,Travel & Housing,Public Transit
2024-11-21,City Suites,128.69,Amex,Travel & Housing,Lodging
2024-11-11,City Line,16.86,Amex,Travel & Housing,Public Transit
2024-06-14,Downtown Movies,36.45,Mastercard,Entertainment,Movies
2024-08-25,RideFly,33.7,Amex,Travel & Housing,Rideshare
2024-04-03,City Suites,371.15,Amex,Travel & Housing,Lodging
